Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Battery Config: Capacity=40.0kWh, MinSOC=10.0%, Reserve=10.0%
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Optimization Plan from 2026-04-22 22:15:00+00:00 to 2026-04-24 20:00:00+00:00:
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Interval: 15 minutes
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: GSHP Initial State: 43.7°C, STOPPED
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Time        | Baseload | GSHP kW | Grid kW | Solar | SOC% | P-tile | Intent | Acc Sim
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ------------|----------|---------|---------|-------|------|--------|--------|--------
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 09:30 |      2.4 |     0.0 |     0.0 |  6.55 | 81.0 |  63.0% | STOP   |  46.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 09:45 |      2.3 |     0.0 |     0.0 |  6.55 | 83.5 |  65.2% | STOP   |  45.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 10:00 |      1.9 |     0.0 |     0.0 |  6.55 | 86.3 |  60.9% | STOP   |  44.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 10:15 |      2.3 |     0.0 |     0.0 |  6.55 | 88.8 |  73.9% | STOP   |  43.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 10:30 |      2.5 |     0.0 |    -2.0 |  6.50 | 90.0 |  67.4% | STOP   |  42.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 10:45 |      2.1 |     3.4 |    -1.0 |  6.50 | 90.0 |  57.1% | START  |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 11:00 |      2.3 |     3.5 |    -0.8 |  6.50 | 90.0 |  70.7% | START  |  46.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 11:15 |      2.0 |     3.7 |    -0.8 |  6.50 | 90.0 |  56.0% | START  |  51.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 11:30 |      2.2 |     3.1 |    -1.0 |  6.31 | 90.0 |  43.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 11:45 |      2.0 |     0.0 |    -4.3 |  6.31 | 90.0 |  30.4% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 12:00 |      2.0 |     0.0 |    -4.3 |  6.31 | 90.0 |  53.8% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 12:15 |      2.5 |     0.0 |    -3.8 |  6.31 | 90.0 |  43.5% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 12:30 |      2.7 |     0.0 |    -3.7 |  6.48 | 90.0 |  30.4% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 12:45 |      2.6 |     0.0 |    -3.9 |  6.48 | 90.0 |  30.4% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 13:00 |      2.3 |     0.0 |    -4.2 |  6.48 | 90.0 |  12.5% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 13:15 |      2.8 |     0.0 |    -3.7 |  6.48 | 90.0 |  12.5% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 13:30 |      3.0 |     0.0 |    -3.2 |  6.21 | 90.0 |  12.5% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 13:45 |      2.5 |     0.0 |    -3.7 |  6.21 | 90.0 |  12.5% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 14:00 |      1.9 |     0.0 |    -4.3 |  6.21 | 90.0 |  12.5% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 14:15 |      2.7 |     3.4 |    -0.1 |  6.21 | 90.0 |   0.0% | START  |  43.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 14:30 |      3.1 |     3.5 |     0.0 |  5.50 | 89.3 |   0.0% | START  |  47.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 14:45 |      2.5 |     3.8 |     0.0 |  5.50 | 88.8 |   0.0% | START  |  52.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 15:00 |      2.2 |     2.2 |     0.0 |  5.50 | 89.4 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 15:15 |      2.3 |     0.0 |    -2.2 |  5.50 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 15:30 |      2.9 |     3.5 |     0.0 |  4.29 | 88.6 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 15:45 |      1.9 |     0.0 |     0.0 |  4.29 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 16:00 |      1.8 |     3.5 |     0.0 |  4.29 | 89.3 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 16:15 |      2.0 |     0.0 |    -1.1 |  4.29 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 16:30 |      2.6 |     3.5 |     0.0 |  2.79 | 87.8 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 16:45 |      2.0 |     0.0 |     0.0 |  2.79 | 88.3 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 17:00 |      2.2 |     3.5 |     0.0 |  2.79 | 86.4 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 17:15 |      2.1 |     0.0 |     0.0 |  2.79 | 86.8 |  12.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 17:30 |      2.4 |     3.5 |     0.0 |  1.43 | 83.9 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 17:45 |      2.1 |     0.0 |     0.0 |  1.43 | 83.4 |  12.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 18:00 |      2.2 |     3.5 |     0.0 |  1.43 | 80.6 |  30.4% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 18:15 |      2.3 |     0.0 |     0.0 |  1.43 | 80.0 |  43.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 18:30 |      2.0 |     3.5 |     0.0 |  0.51 | 76.7 |  59.8% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 18:45 |      2.0 |     0.0 |     0.0 |  0.51 | 75.8 |  78.3% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 19:00 |      2.2 |     3.5 |     0.0 |  0.51 | 72.3 |  60.9% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 19:15 |      3.0 |     0.0 |     0.0 |  0.51 | 70.7 |  79.3% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 19:30 |      3.1 |     3.5 |     0.0 |  0.10 | 66.4 |  81.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 19:45 |      3.2 |     0.0 |     0.0 |  0.10 | 64.3 |  93.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 20:00 |      4.1 |     0.0 |     0.0 |  0.10 | 61.7 |  84.8% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 20:15 |      3.6 |     0.0 |     0.0 |  0.10 | 59.4 |  89.1% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 20:30 |      3.8 |     0.0 |     0.0 |  0.00 | 56.9 |  92.4% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 20:45 |      3.6 |     0.0 |     0.0 |  0.00 | 54.5 |  95.7% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 21:00 |      3.3 |     0.0 |     0.0 |  0.00 | 52.3 |  96.7% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 21:15 |      3.0 |     0.0 |     0.0 |  0.00 | 50.3 |  96.7% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 21:30 |      3.1 |     0.0 |     0.0 |  0.00 | 48.3 |  88.0% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 21:45 |      3.4 |     0.0 |     0.0 |  0.00 | 46.0 |  83.7% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 22:00 |      3.6 |     0.0 |     0.0 |  0.00 | 43.6 |  91.3% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 22:15 |      3.6 |     0.0 |     0.0 |  0.00 | 41.3 |  85.9% | STOP   |  41.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 22:30 |      3.6 |     3.4 |     0.0 |  0.00 | 36.6 |  72.8% | START  |  42.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 22:45 |      3.6 |     3.4 |     0.0 |  0.00 | 32.0 |  66.3% | START  |  46.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 23:00 |      3.2 |     3.7 |     0.0 |  0.00 | 27.4 |  67.4% | START  |  50.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 23:15 |      3.1 |     3.4 |     6.5 |  0.00 | 27.4 |  58.2% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-23 23:30 |      3.0 |     0.0 |     3.0 |  0.00 | 27.4 |  43.5% | STOP   |  53.8
