Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Battery Config: Capacity=40.0kWh, MinSOC=10.0%, Reserve=10.0%
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Optimization Plan from 2026-04-22 22:15:00+00:00 to 2026-04-24 20:00:00+00:00:
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Interval: 15 minutes
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: GSHP Initial State: 43.7°C, STOPPED
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: Time        | Baseload | GSHP kW | Grid kW | Solar | SOC% | P-tile | Intent | Acc Sim
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ------------|----------|---------|---------|-------|------|--------|--------|--------
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 13:45 |      3.2 |     0.0 |    -4.3 |  7.41 | 90.0 |  12.5% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 14:00 |      3.0 |     0.0 |    -4.4 |  7.41 | 90.0 |  12.5% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 14:15 |      3.0 |     3.8 |    -0.6 |  7.41 | 90.0 |   0.0% | START  |  52.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 14:30 |      3.0 |     1.8 |    -1.4 |  6.23 | 90.0 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 14:45 |      3.0 |     0.0 |    -3.2 |  6.23 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 15:00 |      3.0 |     3.5 |     0.0 |  6.23 | 89.8 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 15:15 |      3.0 |     0.0 |    -2.9 |  6.23 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 15:30 |      3.0 |     3.5 |     0.0 |  4.67 | 88.8 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 15:45 |      3.0 |     0.0 |     0.0 |  4.67 | 89.7 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 16:00 |      3.0 |     3.5 |     1.8 |  4.67 | 89.7 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 16:15 |      3.0 |     0.0 |    -1.2 |  4.67 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 16:30 |      3.0 |     3.5 |     3.5 |  2.98 | 90.0 |   0.0% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 16:45 |      3.0 |     0.0 |     0.0 |  2.98 | 90.0 |   0.0% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 17:00 |      2.9 |     3.5 |     3.5 |  2.98 | 90.0 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 17:15 |      2.9 |     0.0 |    -0.0 |  2.98 | 90.0 |  12.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 17:30 |      2.9 |     3.5 |     4.9 |  1.49 | 90.0 |  12.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 17:45 |      2.9 |     0.0 |     1.4 |  1.49 | 90.0 |  12.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 18:00 |      2.9 |     3.5 |     4.9 |  1.49 | 90.0 |  30.4% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 18:15 |      2.9 |     0.0 |     1.4 |  1.49 | 90.0 |  43.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 18:30 |      2.9 |     3.5 |     0.0 |  0.55 | 86.1 |  59.8% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 18:45 |      2.9 |     0.0 |     0.0 |  0.55 | 84.6 |  78.3% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 19:00 |      2.9 |     3.5 |     0.0 |  0.55 | 80.7 |  60.9% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 19:15 |      2.9 |     0.0 |     0.0 |  0.55 | 79.2 |  79.3% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 19:30 |      2.9 |     3.5 |     0.0 |  0.12 | 75.0 |  81.5% | START  |  55.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 19:45 |      2.9 |     0.0 |     0.0 |  0.12 | 73.2 |  93.5% | STOP   |  53.8
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 20:00 |      3.6 |     0.0 |     0.0 |  0.12 | 70.9 |  84.8% | STOP   |  52.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 20:15 |      3.6 |     0.0 |     0.0 |  0.12 | 68.6 |  89.1% | STOP   |  51.4
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 20:30 |      3.6 |     0.0 |     0.0 |  0.00 | 66.2 |  92.4% | STOP   |  50.2
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 20:45 |      3.6 |     0.0 |     0.0 |  0.00 | 63.8 |  95.7% | STOP   |  49.0
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 21:00 |      3.8 |     0.0 |     0.0 |  0.00 | 61.4 |  96.7% | STOP   |  47.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 21:15 |      3.8 |     0.0 |     0.0 |  0.00 | 58.9 |  96.7% | STOP   |  46.5
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 21:30 |      3.8 |     0.0 |     0.0 |  0.00 | 56.4 |  88.0% | STOP   |  45.3
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 21:45 |      3.7 |     0.0 |     0.0 |  0.00 | 54.0 |  83.7% | STOP   |  44.1
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 22:00 |      4.9 |     0.0 |     0.0 |  0.00 | 50.8 |  91.3% | STOP   |  42.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 22:15 |      4.9 |     0.0 |     0.0 |  0.00 | 47.6 |  85.9% | STOP   |  41.7
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 22:30 |      4.9 |     3.4 |     0.0 |  0.00 | 42.2 |  72.8% | START  |  42.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 22:45 |      4.8 |     3.4 |     0.0 |  0.00 | 36.7 |  66.3% | START  |  46.6
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: 04-24 23:00 |      4.4 |     3.7 |     0.0 |  0.00 | 31.4 |  67.4% | START  |  50.9
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ✅ Plan saved to optimization_plan.json
Apr 23 01:14:31 murrikka run_frequent.sh[1675682]: ✅ Archived 184 optimized points to hepo.db
Apr 23 01:14:31 murrikka run_frequent.sh[1675697]: Loading optimization plan...
Apr 23 01:14:31 murrikka run_frequent.sh[1675697]: Pushing optimization plan to Home Assistant...
Apr 23 01:14:31 murrikka run_frequent.sh[1675697]: ✅ Plan successfully pushed!
Apr 23 01:14:31 murrikka run_frequent.sh[1675697]: ✅ GSHP Intent pushed: STOP
Apr 23 01:14:31 murrikka run_frequent.sh[1675697]: ✅ Leaf Intent pushed: ON
Apr 23 01:14:31 murrikka run_frequent.sh[1675427]: === Update Complete: Thu 23 Apr 01:14:31 EEST 2026 ===
Apr 23 01:14:31 murrikka systemd[32544]: Finished home-energy-predictor-frequent.service - Predict energy use in home assistant.
Apr 23 01:14:31 murrikka systemd[32544]: home-energy-predictor-frequent.service: Consumed 1min 22.151s CPU time, 1.4G memory peak.
